NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Cladding (gross wall area),0.0371,m2,3.5000,m2,12.8000,0.1000
2,Cladding (windows and glazing area),0.0137,m2,5.0220,m2,54.0000,0.0500
3,Doors (nonstructural wood),0.1388,unit,16.5375,unit,60.4800,0.1000
4,Double-glazed windows with PVC frames,0.2775,m2,68.4000,m2,30.0000,0.0100
5,Ceramic tile floors,0.0389,m2,12.1000,m2,0.0000,0.0600
6,Raised access floors,0.6937,m2,21.6000,m2,0.0000,0.0100
7,Roofing,0.0278,m2,21.3547,m2,139.1337,0.1000
8,Gypsum partitions,0.1665,m2,7.2800,m2,27.0000,0.0400
9,Ceramic tile walls,0.0044,m2,12.1000,m2,0.0000,0.0600
10,Metal ceilings (lay in tile),0.0559,m2,20.1084,m2,0.0000,0.0100
11,Gypsum ceilings,0.0223,m2,2.2400,m2,0.0000,0.0400
12,Metal ceilings (other),0.0037,m2,20.1084,m2,0.0000,0.0100
13,Metal ceilings (other - high end),0.0040,	m2,20.1084,	m2,0.0000,0.0100
14,Stairs,0.0001,unit,1300.8000,unit,12000.0000,0.0500
15,Elevators,0.0002,unit,56468.1785,unit,0.0000,0.0500
16,Piping (cold domestic water piping  - 2 ½ inch diameter or smaller),0.0143,m,2.7280,m,0.0000,0.0500
17,Piping (cold domestic water piping – greater than 2 ½ diameter),0.0042,m,9.5479,m,0.0000,0.0500
18,Piping (hot domestic water piping - 2 ½ inch diameter or smaller),0.0286,m,2.7280,m,0.0000,0.0500
19,Piping (hot domestic waster piping – greater than 2 ½ diameter),0.0085,m,9.5479,m,0.0000,0.0500
20,Piping (sanitary waste piping),0.0214,m,9.5479,m,0.0000,0.0500
21,Piping (acid waste piping),0.0127,m,9.5479,m,0.0000,0.0500
22,HVAC,1.0000,unit,35.1217,unit,0.0000,0.0500
23,Piping (steam & chilled water piping - 2 ½ inch diameter or smaller),0.0000,m,2.7280,m,0.0000,0.0500
24,Piping (steam & chilled water piping - greater than 2 ½ diameter),0.0005,m,9.5479,m,0.0000,0.0500
25,Piping (heating water piping - 2 ½ inch diameter or smaller),0.0033,m,2.7280,m,0.0000,0.0500
26,Piping (heating water piping - greater than 2 ½ diameter,0.0014,m,9.5479,m,0.0000,0.0500
27,Electrical system,1.0000,unit,9.9760,unit,0.0000,0.0500
28,Fire system,1.0000,unit,4.9859,unit,0.0000,0.0500
29,External infills,0.0000,m,0.0000,m,0.0000,0.0000
30,Internal partitions,0.0000,m,0.0000,m,0.0000,0.0000
