Taxonomy,Res,Com,Ind
CR/LDUAL,170.6347934794888,230.05013455267058,261.91268689516323
CR/LDUAL/FC,155.14735610685176,229.42166513654084,253.00566521312504
CR/LFINF(CLBRH),150.7159107383777,215.28137012605833,253.02620768636316
CR/LFINF(CLBRH)/FC,135.45643216574067,214.41654465209183,244.17133157982497
CR/LFINF(CBH),173.30764456838227,248.5047173186203,293.71754384237147
CR/LWAL,190.55367622059993,244.81889897928284,270.7991661039632
CR/LWAL/FC,174.83828004796294,244.42678562098982,261.839998846425
MR+CLBRH/LWAL,307.4432687246566,365.6704022704439,366.9170519579439
MR+CLBRH/LWAL/FC,296.2207207313715,355.6945039646588,356.9411536521588
MR+CLBRH/LWAL/RWO/FW,263.1559957313715,321.3831292771588,323.8764286521588
MR+CLBRH/LWAL/RWO/FM,307.4432687246566,365.6704022704439,366.9170519579439
MR+CLBRH/LWAL/RWO/FC,284.5106707313715,343.98445396465877,345.23110365215877
MR+CBH/LWAL,370.53028832648386,441.9509330269376,439.9562935269376
S+SR/LFBR,154.61526009221348,166.40006026676517,155.4305403020159
S+SR/LFINF,138.6595640188877,149.53844087518382,146.36426076123306
S/LWAL,159.13905654962844,176.22104250222083,159.99766513776643
W/LFINF,50.21500767901231,55.57271388185582,79.4620412788125
W/LWAL,49.71128953086418,55.27227458818235,72.18890255561249
