Taxonomy,Res,Com,Ind
CR/LDUAL,16.12951038022199,18.940601725415448,20.366281110467014
CR/LDUAL/FC,15.03103859152469,18.874473546825094,19.645506476318907
CR/LFINF(CLBRH),14.713421184900655,17.897246241036868,19.767152897504133
CR/LFINF(CLBRH)/FC,13.632672859083357,17.812741725066548,19.050432505489827
CR/LFINF(CBH),16.213673828289295,19.773550663975726,21.862000581485326
CR/LWAL,17.545599575543324,19.983957209794028,20.96540932342989
CR/LWAL/FC,16.429404323966025,19.936205368583643,20.24058044714799
MR+CLBRH/LWAL,13.734763017594172,15.780388078509304,16.04503225363936
MR+CLBRH/LWAL/FC,12.885234509479025,15.027574943789835,15.249626824507967
MR+CLBRH/LWAL/RWO/FW,10.304413928740992,12.349109682346686,12.522029635332482
MR+CLBRH/LWAL/RWO/FM,13.645549502911441,15.690245256517139,15.766240021877936
MR+CLBRH/LWAL/RWO/FC,11.808728033740989,13.950348974971686,14.026343740332482
MR+CBH/LWAL,15.470745688501626,17.947317424540127,18.01648832690657
S+SR/LFBR,10.012376387705956,8.624685338328332,8.502689088145397
S+SR/LFINF,9.763554796024195,8.361736297680757,8.361304713837798
S/LWAL,11.223230581539308,10.273100554253643,9.29890522983012
W/LFINF,4.276031284954351,4.329766970888226,5.6984154164458625
W/LWAL,4.084434395798797,4.188226406558348,5.0502122369655424
