ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:10.0/H:1/COM,524,87094,171965219,34393044,51589566,85982609,40747,24116,16631
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:10.0/H:2/COM,163,68132,143234457,28646892,42970337,71617228,31906,18891,13015
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:10.0/HBET:3-5/COM,155,152969,323349187,64669837,97004756,161674593,71841,42585,29257
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:10.0/HBET:6-/COM,8,10766,22758412,4551682,6827524,11379206,5061,3001,2060
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:15.0/H:1/COM,990,158770,310549904,62109981,93164971,155274952,74280,43962,30318
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:15.0/H:2/COM,282,113792,238005180,47601036,71401555,119002590,53289,31551,21738
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:15.0/HBET:3-5/COM,271,254838,536517479,107303496,160955244,268258740,119684,70944,48740
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDH+LFC:15.0/HBET:6-/COM,13,18248,38426264,7685253,11527879,19213132,8578,5087,3491
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:12.0/H:1/COM,753,112119,214909960,42981992,64472988,107454980,52455,31045,21410
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:12.0/H:2/COM,406,173392,366336110,73267222,109900833,183168055,81199,48076,33123
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:6.0/H:1/COM,66,10124,19596028,3919205,5878808,9798014,4736,2803,1933
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:6.0/H:2/COM,41,18133,38468528,7693706,11540558,19234264,8492,5028,3464
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:8.0/H:1/COM,661,103706,201757834,40351567,60527350,100878917,48519,28715,19803
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDL+LFC:8.0/H:2/COM,443,199068,423035417,84607083,126910625,211517709,93223,55195,38028
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:12.0/H:1/COM,760,119754,233120035,46624007,69936010,116560017,56027,33159,22868
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:12.0/H:2/COM,207,81879,170750021,34150004,51225006,85375010,38344,22702,15641
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:12.0/HBET:3-5/COM,200,183133,384653100,76930620,115395930,192326550,86007,50982,35026
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:12.0/HBET:6-/COM,10,13199,27732345,5546469,8319704,13866173,6205,3679,2525
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:6.0/H:1/COM,68,11086,21815128,4363026,6544539,10907564,5186,3070,2117
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:6.0/H:2/COM,20,8411,17652389,3530478,5295717,8826194,3939,2332,1607
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:6.0/HBET:3-5/COM,20,18869,39831989,7966398,11949597,19915995,8862,5253,3609
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:6.0/HBET:6-/COM,1,1352,2855386,571077,856616,1427693,636,377,259
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:8.0/H:1/COM,686,115025,227579960,45515992,68273988,113789980,53814,31849,21965
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:8.0/H:2/COM,217,91634,192837227,38567446,57851168,96418614,42912,25407,17505
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:8.0/HBET:3-5/COM,207,205833,435440242,87088048,130632073,217720121,96669,57301,39367
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDM+LFC:8.0/HBET:6-/COM,10,14461,30596945,6119389,9179083,15298472,6798,4031,2767
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDN/H:1/COM,1480,225949,436263822,87252765,130879147,218131911,105710,62563,43147
GRC,Greece,1,Aegean,Total,Com,CR/LDUAL+CDN/H:2/COM,889,390594,827840055,165568011,248352017,413920028,182914,108298,74616
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:10.0/H:1/COM,831,132823,259584876,51916975,77875463,129792438,59773,34408,25364
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:10.0/H:2/COM,466,191856,402420994,80484199,120726298,201210497,86420,49768,36652
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:10.0/HBET:3-5/COM,286,267207,561882190,112376438,168564657,280941095,120701,69594,51107
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:10.0/HBET:6-/COM,14,15628,32108731,6421746,9632619,16054366,7066,4076,2990
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:15.0/H:1/COM,1588,245428,475336279,95067256,142600884,237668140,110447,63579,46868
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:15.0/H:2/COM,810,321432,670516918,134103384,201155076,335258459,144786,83380,61406
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:15.0/HBET:3-5/COM,506,450292,942340534,188468107,282702160,471170267,203404,117279,86125
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDH+LFC:15.0/HBET:6-/COM,27,27671,56483130,11296626,16944939,28241565,12511,7217,5295
GRC,Greece,1,Aegean,Total,Com,CR/LFINF+CDL+LFC:12.0/H:1/COM,1225,186366,359330621,71866124,107799186,179665310,83868,48279,35589
