ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR+PC/LWAL+CDN/H:1/COM,338,21205,45699213,9139843,13709764,22849606,10299.01984286594,6249.819008583582,4049.200834282356
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR+PC/LWAL+CDN/H:2/COM,149,29660,81356687,16271337,24407006,40678344,14419.502560588058,8753.574704773757,5665.9278558143
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR+PC/LWAL+CDN/HBET:3-5/COM,186,117541,346846208,69369242,104053862,173423104,57310.13032613002,34830.13287429951,22479.99745183051
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR/LFINF+CDN/H:1/COM,2778,174298,375625238,75125048,112687572,187812619,78436.88005852426,45152.468707859574,33284.41135066468
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR/LFINF+CDN/H:2/COM,499,92847,251245170,50249034,75373551,125622585,41821.86441661385,24084.64775693869,17737.21665967515
MLT,Malta,MLT.1_1,Centrali,Total,Com,CR/LFINF+CDN/HBET:3-5/COM,729,459617,1356273687,271254737,406882106,678136844,207615.87329503,119707.73821045374,87908.13508457625
MLT,Malta,MLT.1_1,Centrali,Total,Com,MUR+CL/LWAL+CDN/H:1/COM,806,57275,109158220,21831644,32747466,54579110,30312.802693553844,24057.95989580328,6254.8427977505635
MLT,Malta,MLT.1_1,Centrali,Total,Com,MUR+CL/LWAL+CDN/H:2/COM,26,6430,15360516,3072103,4608155,7680258,3405.406979477469,2703.1612654101264,702.245714067343
MLT,Malta,MLT.1_1,Centrali,Total,Com,MUR+ST/LWAL+CDN/H:1/COM,103,14793,35740626,7148125,10722188,17870313,7829.148522187597,6213.655796434719,1615.4927257528775
MLT,Malta,MLT.1_1,Centrali,Total,Com,MUR+ST/LWAL+CDN/H:2/COM,125,23677,51767668,10353534,15530300,25883834,12540.012351117492,9954.077026062889,2585.9353250546037
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR+PC/LWAL+CDN/H:1/COM,50,3139,6765526,1353105,2029658,3382763,1524.7463343659779,925.2708417470451,599.475492618933
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR+PC/LWAL+CDN/H:2/COM,22,4391,12044426,2408885,3613328,6022213,2134.704651079547,1295.9038169859607,838.8008340935862
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR+PC/LWAL+CDN/HBET:3-5/COM,28,17401,51348740,10269748,15404622,25674370,8484.462832375857,5156.417080612014,3328.0457517638442
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR/LFINF+CDN/H:1/COM,411,25804,55609323,11121865,16682797,27804662,11612.165240736778,6684.583777980896,4927.581462755882
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR/LFINF+CDN/H:2/COM,74,13746,37195514,7439103,11158654,18597757,6191.534554936258,3565.620853945006,2625.913700991252
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,CR/LFINF+CDN/HBET:3-5/COM,108,68044,200789121,40157824,60236736,100394561,30736.43261610868,17722.09747738467,13014.33513872401
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,MUR+CL/LWAL+CDN/H:1/COM,119,8479,16160295,3232059,4848088,8080148,4487.654595078683,3561.6557109879604,925.9988840907218
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,MUR+CL/LWAL+CDN/H:2/COM,4,952,2274043,454809,682213,1137021,504.15606539826285,400.190844398033,103.96522100022977
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,MUR+ST/LWAL+CDN/H:1/COM,15,2190,5291210,1058242,1587363,2645605,1159.0715827167628,919.9033054460874,239.1682772706754
MLT,Malta,MLT.2_1,Ghawdex,Total,Com,MUR+ST/LWAL+CDN/H:2/COM,18,3505,7663928,1532786,2299178,3831964,1856.5118677208668,1473.6701988548232,382.84166886604345
MLT,Malta,MLT.3_1,Nofsinhar,Total,Com,CR+PC/LWAL+CDN/H:1/COM,156,9793,21105037,4221008,6331511,10552518,4756.311417252106,2886.301601718127,1870.0098155339786
MLT,Malta,MLT.3_1,Nofsinhar,Total,Com,CR+PC/LWAL+CDN/H:2/COM,68,13698,37572548,7514510,11271764,18786274,6659.28715701402,4042.6190908460503,2616.668066167969
MLT,Malta,MLT.3_1,Nofsinhar,Total,Com,CR+PC/LWAL+CDN/HBET:3-5/COM,86,54283,160182234,32036447,48054670,80091117,26467.24549633928,16085.4220205017,10381.823475837577
MLT,Malta,MLT.3_1,Nofsinhar,Total,Com,CR/LFINF+CDN/H:1/COM,1283,80495,173473108,34694622,52041932,86736554,36224.11042302005,20852.537323991095,15371.573099028956
MLT,Malta,MLT.3_1,Nofsinhar,Total,Com,CR/LFINF+CDN/H:2/COM,230,42879,116031289,23206258,34809387,58015645,19314.39837723196,11122.901019789408,8191.497357442549
