ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
SVK,Slovakia,1,Zilinsky,Total,Com,CR+PC/LWAL+CDM/HBET:3-5/COM,860,1003934,2494604682,498920936,748381405,1247302341,489494.14954638854,297489.20402417524,192004.94552221315
SVK,Slovakia,1,Zilinsky,Total,Com,CR+PC/LWAL+CDM/HBET:6-/COM,7,9549,23696414,4739283,7108924,11848207,4660.231777543811,2833.3014455784155,1826.9303319653945
SVK,Slovakia,1,Zilinsky,Total,Com,CR+PC/LWAL+CDN/H:2/COM,174,18022,32364904,6472981,9709471,16182452,8761.308542163368,5318.673105765686,3442.635436397677
SVK,Slovakia,1,Zilinsky,Total,Com,CR+PC/LWAL+CDN/HBET:3-5/COM,213,223816,554957674,110991535,166487302,277478837,109127.56495414492,66322.07418550077,42805.490768644086
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDM/H:1/COM,711,37242,67401846,13480370,20220554,33700923,16759.887226083785,9647.875180067957,7112.012046015841
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDM/H:2/COM,179,26774,61234743,12246948,18370422,30617371,12060.398625599375,6945.411389335468,5114.987236263917
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDN/H:1/COM,392,20358,36560354,7312071,10968106,18280177,9161.48740663884,5273.830828383613,3887.6565782552275
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDN/H:2/COM,3,334,599350,119870,179805,299675,150.3886706112725,86.6044057889203,63.78426482235213
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDN/HBET:3-5/COM,74,135720,339548737,67909747,101864621,169774368,61306.570675153074,35348.30686575065,25958.263809402393
SVK,Slovakia,1,Zilinsky,Total,Com,CR/LFINF+CDN/HBET:6-/COM,4,4774,11848207,2369642,3554462,5924104,2158.5903715154095,1245.1027170695045,913.4876544459052
SVK,Slovakia,1,Zilinsky,Total,Com,MCF/LWAL+CDL/H:1/COM,945,83150,184109668,36821934,55232901,92054834,37419.05850120766,21540.39819311237,15878.660308095317
SVK,Slovakia,1,Zilinsky,Total,Com,MCF/LWAL+CDL/H:2/COM,404,78311,186581134,37316227,55974340,93290567,35274.75808489673,20314.247207950622,14960.5108769461
SVK,Slovakia,1,Zilinsky,Total,Com,MCF/LWAL+CDL/HBET:3-5/COM,89,152461,381123500,76224700,114337050,190561750,68868.84685027052,39708.58622563665,29160.260624633844
SVK,Slovakia,1,Zilinsky,Total,Com,MUR+ADO/LWAL+CDN/H:1/COM,30,9434,19202075,3840415,5760622,9601038,4993.190949893946,3962.8645334664448,1030.3264164275001
SVK,Slovakia,1,Zilinsky,Total,Com,MUR+CL/LWAL+CDN/H:1/COM,943,88306,160420736,32084148,48126220,80210368,46736.33469263432,37092.547067218846,9643.787625415449
SVK,Slovakia,1,Zilinsky,Total,Com,MUR+CL/LWAL+CDN/H:2/COM,377,66115,127797186,25559437,38339156,63898593,35016.58115020261,27795.6036928175,7220.97745738511
SVK,Slovakia,1,Zilinsky,Total,Com,MUR+ST/LWAL+CDN/H:1/COM,913,79829,143057866,28611573,42917359,71528933,42249.93303853073,33531.890832213365,8718.042206317394
SVK,Slovakia,1,Zilinsky,Total,Com,MUR+ST/LWAL+CDN/H:2/COM,334,73482,144651963,28930393,43395588,72325982,38918.02936985008,30892.517755471148,8025.51161437893
SVK,Slovakia,1,Zilinsky,Total,Com,W/LFM+CDM/H:1/COM,19,1579,3049974,609995,914992,1524987,300.9095446895341,105.0812906771791,195.82825401235505
SVK,Slovakia,1,Zilinsky,Total,Com,W/LFM+CDM/H:2/COM,2,2931,6667580,1333516,2000274,3333790,558.7472414313378,195.26083162070535,363.4864098106326
SVK,Slovakia,1,Zilinsky,Total,Com,W/LFM+CDN/H:1/COM,37,3158,6099947,1219989,1829984,3049973,601.7273987062977,210.12535560035656,391.60204310594116
SVK,Slovakia,1,Zilinsky,Total,Com,W/LFM+CDN/H:2/COM,5,5958,13554406,2710881,4066322,6777203,1135.8088459799442,396.9182258136795,738.8906201662644
SVK,Slovakia,2,Banskobystricky,Total,Com,CR+PC/LWAL+CDM/HBET:3-5/COM,745,869161,2159716625,431943325,647914988,1079858313,423782.1516015184,257552.85644010044,166229.29516141783
SVK,Slovakia,2,Banskobystricky,Total,Com,CR+PC/LWAL+CDM/HBET:6-/COM,6,8267,20515314,4103063,6154594,10257657,4034.6517613407227,2452.964022493044,1581.6877388476792
SVK,Slovakia,2,Banskobystricky,Total,Com,CR+PC/LWAL+CDN/H:2/COM,150,15603,28021784,5604357,8406536,14010892,7585.604170604235,4604.943232235392,2980.660938368845
SVK,Slovakia,2,Banskobystricky,Total,Com,CR+PC/LWAL+CDN/HBET:3-5/COM,184,193770,480458341,96091668,144137502,240229170,94477.90361807971,57418.7729643398,37059.13065373993
SVK,Slovakia,2,Banskobystricky,Total,Com,CR/LFINF+CDM/H:1/COM,616,32245,58356991,11671398,17507098,29178496,14511.04299109218,8353.321958947457,6157.721032144718
