ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,CR+PC/LFM+CDH/H:1/IND,14,24723,56979363,8546904,14244841,34187618,10551,7565,2986
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,CR+PC/LFM+CDL/H:1/IND,375,667531,1538442791,230766419,384610698,923065675,284855,204251,80604
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,CR/LFINF+CDL/H:2/IND,264,469744,1082607890,162391184,270651973,649564734,200674,143929,56745
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,CR/LFINF+CDL/HBET:3-5/IND,28,49447,113958725,17093809,28489681,68375235,21194,15213,5981
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,MUR/LWAL+CDN/H:1/IND,97,173064,360888091,54133214,90222023,216532854,86084,73139,12945
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,S+SL/LFM+CDL/H:1/IND,83,148340,325604412,48840662,81401103,195362647,36344,25260,11085
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,S/LFM+CDH/H:1/IND,42,74170,162802206,24420331,40700552,97681324,18172,12630,5542
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,S/LFM+CDL/H:1/IND,416,741701,1628022062,244203309,407005515,976813237,181720,126298,55422
AUT,Austria,AUT.1_1,Burgenland,Total,Ind,W/LWAL+CDL/H:1/IND,69,123617,257777208,38666581,64444302,154666325,19341,10702,8639
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,CR+PC/LFM+CDH/H:1/IND,21,36960,85179678,12776952,21294919,51107807,15773,11309,4463
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,CR+PC/LFM+CDL/H:1/IND,560,997907,2299851298,344977695,574962824,1379910779,425837,305339,120497
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,CR/LFINF+CDL/H:2/IND,394,702231,1618413876,242762082,404603469,971048326,299992,215163,84830
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,CR/LFINF+CDL/HBET:3-5/IND,41,73919,170359355,25553903,42589839,102215613,31683,22742,8941
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,MUR/LWAL+CDN/H:1/IND,145,258717,539499388,80924908,134874847,323699632,128689,109338,19352
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,S+SL/LFM+CDL/H:1/IND,124,221757,486753056,73012958,121688264,292051834,54332,37762,16571
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,S/LFM+CDH/H:1/IND,62,110879,243376528,36506479,60844132,146025917,27167,18881,8286
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,S/LFM+CDL/H:1/IND,622,1108786,2433765282,365064792,608441320,1460259169,271658,188806,82851
AUT,Austria,AUT.2_1,Carinthia,Total,Ind,W/LWAL+CDL/H:1/IND,104,184798,385356705,57803506,96339176,231214023,28913,15999,12914
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,CR+PC/LFM+CDH/H:1/IND,86,152793,352137095,52820564,88034273,211282257,65205,46753,18452
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,CR+PC/LFM+CDL/H:1/IND,2315,4125398,9507701551,1426155233,2376925388,5704620930,1760429,1262287,498142
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,CR/LFINF+CDL/H:2/IND,1629,2903058,6690604795,1003590719,1672651199,4014362877,1240184,889493,350691
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,CR/LFINF+CDL/HBET:3-5/IND,171,305585,704274189,105641128,176068547,422564513,130979,94016,36963
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,MUR/LWAL+CDN/H:1/IND,600,1069548,2230317746,334547662,557579437,1338190648,532009,452008,80001
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,S+SL/LFM+CDL/H:1/IND,514,916755,2012261746,301839262,503065437,1207357048,224612,156108,68504
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,S/LFM+CDH/H:1/IND,257,458378,1006130873,150919631,251532718,603678524,112308,78055,34253
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,S/LFM+CDL/H:1/IND,2572,4583775,10061308730,1509196310,2515327183,6036785238,1123046,780534,342512
AUT,Austria,AUT.3_1,Lower Austria,Total,Ind,W/LWAL+CDL/H:1/IND,429,763963,1593084105,238962616,398271026,955850463,119529,66142,53388
AUT,Austria,AUT.4_1,Upper Austria,Total,Ind,CR+PC/LFM+CDH/H:1/IND,57,101791,234594751,35189213,58648688,140756851,43441,31148,12293
AUT,Austria,AUT.4_1,Upper Austria,Total,Ind,CR+PC/LFM+CDL/H:1/IND,1542,2748352,6334058290,950108744,1583514573,3800434974,1172804,840940,331864
AUT,Austria,AUT.4_1,Upper Austria,Total,Ind,CR/LFINF+CDL/H:2/IND,1085,1934026,4457300278,668595042,1114325070,2674380167,826215,592583,233632
AUT,Austria,AUT.4_1,Upper Austria,Total,Ind,CR/LFINF+CDL/HBET:3-5/IND,114,203582,469189503,70378426,117297376,281513702,87260,62635,24625
