ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
CYP,Cyprus,1,Ammochostos,Total,Ind,CR+PC/LFM+CDN/H:1/IND,17,39172,58623695,8793554,14655924,35174217,16716,11986,4730
CYP,Cyprus,1,Ammochostos,Total,Ind,CR/LFINF+CDM/H:1/IND,100,223839,334992541,50248881,83748135,200995524,95518,68490,27028
CYP,Cyprus,1,Ammochostos,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,12,27980,41874068,6281110,10468517,25124441,11992,8608,3384
CYP,Cyprus,1,Ammochostos,Total,Ind,S+SL/LFM+CDM/H:1/IND,120,268607,382848618,57427293,95712154,229709171,65810,45739,20071
CYP,Cyprus,2,Larnaka,Total,Ind,CR+PC/LFM+CDN/H:1/IND,142,319654,478387975,71758196,119596994,287032785,136406,97808,38598
CYP,Cyprus,2,Larnaka,Total,Ind,CR/LFINF+CDM/H:1/IND,814,1826596,2733645573,410046836,683411393,1640187344,779461,558900,220561
CYP,Cyprus,2,Larnaka,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,102,228324,341705697,51255854,85426424,205023418,97861,70245,27616
CYP,Cyprus,2,Larnaka,Total,Ind,S+SL/LFM+CDM/H:1/IND,977,2191915,3124166370,468624955,781041592,1874499822,537028,373243,163785
CYP,Cyprus,3,Lemesos,Total,Ind,CR+PC/LFM+CDN/H:1/IND,41,90977,136154261,20423139,34038565,81692556,38823,27837,10985
CYP,Cyprus,3,Lemesos,Total,Ind,CR/LFINF+CDM/H:1/IND,232,519868,778024347,116703652,194506087,466814608,221843,159069,62774
CYP,Cyprus,3,Lemesos,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,29,64984,97253043,14587957,24313261,58351826,27852,19993,7860
CYP,Cyprus,3,Lemesos,Total,Ind,S+SL/LFM+CDM/H:1/IND,278,623842,889170682,133375602,222292670,533502409,152844,106229,46615
CYP,Cyprus,4,Lefkosia,Total,Ind,CR+PC/LFM+CDN/H:1/IND,218,489771,732981725,109947259,183245431,439789035,209000,149860,59140
CYP,Cyprus,4,Lefkosia,Total,Ind,CR/LFINF+CDM/H:1/IND,1247,2798694,4188466999,628270050,1047116750,2513080199,1194283,856342,337941
CYP,Cyprus,4,Lefkosia,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,156,349837,523558375,78533756,130889594,314135025,149942,107629,42313
CYP,Cyprus,4,Lefkosia,Total,Ind,S+SL/LFM+CDM/H:1/IND,1497,3358433,4786819427,718022914,1196704857,2872091656,822829,571879,250950
CYP,Cyprus,5,Paphos,Total,Ind,CR+PC/LFM+CDN/H:1/IND,22,50034,74880286,11232043,18720071,44928171,21351,15309,6042
CYP,Cyprus,5,Paphos,Total,Ind,CR/LFINF+CDM/H:1/IND,127,285910,427887346,64183102,106971836,256732408,122006,87483,34524
CYP,Cyprus,5,Paphos,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,16,35739,53485918,8022888,13371480,32091551,15318,10995,4323
CYP,Cyprus,5,Paphos,Total,Ind,S+SL/LFM+CDM/H:1/IND,153,343092,489014110,73352116,122253527,293408466,84059,58422,25637
CYP,Cyprus,6,Akrotiri and Dhekelia,Total,Ind,CR+PC/LFM+CDN/H:1/IND,37,82661,123708690,18556303,30927172,74225214,35274,25293,9981
CYP,Cyprus,6,Akrotiri and Dhekelia,Total,Ind,CR/LFINF+CDM/H:1/IND,211,472348,706906799,106036020,176726700,424144079,201565,144529,57036
CYP,Cyprus,6,Akrotiri and Dhekelia,Total,Ind,CR/LFINF+CDM/HBET:3-5/IND,26,59044,88363350,13254502,22090837,53018010,25306,18165,7141
CYP,Cyprus,6,Akrotiri and Dhekelia,Total,Ind,S+SL/LFM+CDM/H:1/IND,253,566818,807893484,121184023,201973371,484736091,138873,96519,42354
