ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
FIN,Finland,1,Eastern Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1374,2599736,6614061315,992109197,1653515329,3968436789,1109383,795465,313918
FIN,Finland,1,Eastern Finland,Total,Ind,CR/LFM+CDN/H:2/IND,196,371391,944865902,141729885,236216476,566919541,158658,113794,44864
FIN,Finland,1,Eastern Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,981,1856955,4499462267,674919340,1124865567,2699677360,454962,316206,138756
FIN,Finland,1,Eastern Finland,Total,Ind,S/LFM+CDN/H:1/IND,589,1114173,2699677360,404951604,674919340,1619806416,272978,189724,83254
FIN,Finland,1,Eastern Finland,Total,Ind,W/LWAL+CDN/H:1/IND,785,1485564,3419676019,512951403,854919005,2051805611,232424,128612,103812
FIN,Finland,2,Lapland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,606,1146918,2917906880,437686032,729476720,1750744128,489423,350933,138490
FIN,Finland,2,Lapland,Total,Ind,CR/LFM+CDN/H:2/IND,87,163845,416843840,62526576,104210960,250106304,69995,50202,19793
FIN,Finland,2,Lapland,Total,Ind,S+SL/LFM+CDN/H:1/IND,433,819227,1985015149,297752272,496253787,1191009089,200714,139500,61215
FIN,Finland,2,Lapland,Total,Ind,S/LFM+CDN/H:1/IND,260,491536,1191009089,178651363,297752272,714605454,120429,83700,36729
FIN,Finland,2,Lapland,Total,Ind,W/LWAL+CDN/H:1/IND,346,655382,1508648878,226297332,377162219,905189327,102538,56740,45798
FIN,Finland,3,Oulu,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1233,2333071,5935631104,890344666,1483907776,3561378663,995590,713872,281718
FIN,Finland,3,Oulu,Total,Ind,CR/LFM+CDN/H:2/IND,176,333296,847947301,127192095,211986825,508768380,142384,102122,40263
FIN,Finland,3,Oulu,Total,Ind,S+SL/LFM+CDN/H:1/IND,881,1666479,4037934775,605690216,1009483694,2422760865,408295,283771,124524
FIN,Finland,3,Oulu,Total,Ind,S/LFM+CDN/H:1/IND,528,999888,2422760865,363414130,605690216,1453656519,244977,170263,74714
FIN,Finland,3,Oulu,Total,Ind,W/LWAL+CDN/H:1/IND,705,1333184,3068906437,460335966,767226609,1841343862,208584,115420,93164
FIN,Finland,4,Southern Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,4737,8964827,22807664756,3421149713,5701916189,13684598853,3825552,2743051,1082501
FIN,Finland,4,Southern Finland,Total,Ind,CR/LFM+CDN/H:2/IND,677,1280690,3258237822,488735673,814559455,1954942693,547111,392402,154709
FIN,Finland,4,Southern Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,3384,6403448,15515765893,2327364884,3878941473,9309459536,1568872,1090391,478482
FIN,Finland,4,Southern Finland,Total,Ind,S/LFM+CDN/H:1/IND,2030,3842069,9309459536,1396418930,2327364884,5585675721,941325,654235,287090
FIN,Finland,4,Southern Finland,Total,Ind,W/LWAL+CDN/H:1/IND,2707,5122758,11792274141,1768841121,2948068535,7075364484,801482,443502,357980
FIN,Finland,5,Western Finland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,6050,11448326,29126002719,4368900408,7281500680,17475601632,4885334,3502951,1382383
FIN,Finland,5,Western Finland,Total,Ind,CR/LFM+CDN/H:2/IND,864,1635475,4160857531,624128630,1040214383,2496514519,698676,501109,197568
FIN,Finland,5,Western Finland,Total,Ind,S+SL/LFM+CDN/H:1/IND,4321,8177376,19814051304,2972107696,4953512826,11888430783,2003493,1392458,611035
FIN,Finland,5,Western Finland,Total,Ind,S/LFM+CDN/H:1/IND,2593,4906425,11888430783,1783264617,2972107696,7133058470,1202098,835476,366622
FIN,Finland,5,Western Finland,Total,Ind,W/LWAL+CDN/H:1/IND,3457,6541900,15059051962,2258857794,3764762990,9035431177,1023515,566364,457151
