ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,CR+PC/LFM+CDL/H:1/IND,8663,10033399,24025242617,3603786393,6006310654,14415145570,4281541,3070011,1211530
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,CR+PC/LFM+CDM/H:2/IND,5776,6688933,16016828411,2402524262,4004207103,9610097047,2857499,2049476,808023
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,CR/LFINF+CDL/H:1/IND,3850,4459288,10677885607,1601682841,2669471402,6406731364,1902908,1364450,538458
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,CR/LFINF+CDM/H:2/IND,3850,4459288,10677885607,1601682841,2669471402,6406731364,1905000,1366317,538682
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,MUR/LWAL+CDN/H:1/IND,3369,3901877,8453326106,1267998916,2113331527,5071995664,1940838,1648989,291850
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,S+SL/LFM+CDL/H:1/IND,1444,1672233,3813530574,572029586,953382643,2288118344,409705,284751,124954
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,S+SL/LFM+CDM/H:2/IND,3850,4459288,10169414864,1525412230,2542353716,6101648919,1093429,760170,333259
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,S/LFM+CDH/H:1/IND,7701,8918577,20338829728,3050824459,5084707432,12203297837,2185087,1518670,666417
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,S/LFM+CDL/H:1/IND,8182,9475988,21610006586,3241500988,5402501647,12966003952,2321655,1613586,708068
DEU,Germany,1,Baden-Wurttemberg,Total,Ind,W/LWAL+CDM/H:1/IND,1444,1672233,3622854045,543428107,905713511,2173712427,261630,144774,116857
DEU,Germany,2,Bayern,Total,Ind,CR+PC/LFM+CDL/H:1/IND,9058,10490607,25120040144,3768006022,6280010036,15072024086,4476645,3209907,1266738
DEU,Germany,2,Bayern,Total,Ind,CR+PC/LFM+CDM/H:2/IND,6039,6993738,16746693429,2512004014,4186673357,10048016058,2987711,2142868,844844
DEU,Germany,2,Bayern,Total,Ind,CR/LFINF+CDL/H:1/IND,4026,4662492,11164462286,1674669343,2791115571,6698677372,1989621,1426626,562995
DEU,Germany,2,Bayern,Total,Ind,CR/LFINF+CDM/H:2/IND,4026,4662492,11164462286,1674669343,2791115571,6698677372,1991808,1428579,563229
DEU,Germany,2,Bayern,Total,Ind,MUR/LWAL+CDN/H:1/IND,3523,4079681,8838532643,1325779897,2209633161,5303119586,2029280,1724131,305149
DEU,Germany,2,Bayern,Total,Ind,S+SL/LFM+CDL/H:1/IND,1510,1748435,3987307959,598096194,996826990,2392384776,428375,297727,130648
DEU,Germany,2,Bayern,Total,Ind,S+SL/LFM+CDM/H:2/IND,4026,4662492,10632821225,1594923184,2658205306,6379692735,1143255,794810,348445
DEU,Germany,2,Bayern,Total,Ind,S/LFM+CDH/H:1/IND,8052,9324984,21265642450,3189846367,5316410613,12759385470,2284658,1587873,696785
DEU,Germany,2,Bayern,Total,Ind,S/LFM+CDL/H:1/IND,8555,9907796,22594745103,3389211765,5648686276,13556847062,2427449,1687115,740334
DEU,Germany,2,Bayern,Total,Ind,W/LWAL+CDM/H:1/IND,1510,1748435,3787942561,568191384,946985640,2272765537,273552,151371,122182
DEU,Germany,3,Berlin,Total,Ind,CR+PC/LFM+CDL/H:1/IND,1560,1806816,4326469471,648970421,1081617368,2595881682,771020,552848,218172
DEU,Germany,3,Berlin,Total,Ind,CR+PC/LFM+CDM/H:2/IND,1040,1204544,2884312980,432646947,721078245,1730587788,514579,369070,145509
DEU,Germany,3,Berlin,Total,Ind,CR/LFINF+CDL/H:1/IND,693,803029,1922875320,288431298,480718830,1153725192,342676,245710,96966
DEU,Germany,3,Berlin,Total,Ind,CR/LFINF+CDM/H:2/IND,693,803029,1922875320,288431298,480718830,1153725192,343053,246047,97006
DEU,Germany,3,Berlin,Total,Ind,MUR/LWAL+CDN/H:1/IND,607,702651,1522276295,228341444,380569074,913365777,349506,296950,52556
DEU,Germany,3,Berlin,Total,Ind,S+SL/LFM+CDL/H:1/IND,260,301136,686741186,103011178,171685296,412044711,73780,51278,22502
DEU,Germany,3,Berlin,Total,Ind,S+SL/LFM+CDM/H:2/IND,693,803029,1831309829,274696474,457827457,1098785897,196905,136892,60013
DEU,Germany,3,Berlin,Total,Ind,S/LFM+CDH/H:1/IND,1387,1606059,3662619658,549392949,915654914,2197571795,393491,273482,120008
DEU,Germany,3,Berlin,Total,Ind,S/LFM+CDL/H:1/IND,1473,1706437,3891533386,583730008,972883347,2334920032,418084,290575,127509
DEU,Germany,3,Berlin,Total,Ind,W/LWAL+CDM/H:1/IND,260,301136,652404127,97860619,163101032,391442476,47114,26071,21043
DEU,Germany,4,Brandenburg,Total,Ind,CR+PC/LFM+CDL/H:1/IND,2763,3199426,7661111963,1149166794,1915277991,4596667178,1365288,978958,386330
DEU,Germany,4,Brandenburg,Total,Ind,CR+PC/LFM+CDM/H:2/IND,1842,2132951,5107407975,766111196,1276851994,3064444785,911193,653532,257661
DEU,Germany,4,Brandenburg,Total,Ind,CR/LFINF+CDL/H:1/IND,1228,1421967,3404938650,510740797,851234663,2042963190,606795,435093,171702
DEU,Germany,4,Brandenburg,Total,Ind,CR/LFINF+CDM/H:2/IND,1228,1421967,3404938650,510740797,851234663,2042963190,607462,435688,171774
DEU,Germany,4,Brandenburg,Total,Ind,MUR/LWAL+CDN/H:1/IND,1074,1244221,2695576431,404336465,673894108,1617345859,618890,525826,93064
DEU,Germany,4,Brandenburg,Total,Ind,S+SL/LFM+CDL/H:1/IND,460,533238,1216049518,182407428,304012380,729629711,130646,90801,39845
DEU,Germany,4,Brandenburg,Total,Ind,S+SL/LFM+CDM/H:2/IND,1228,1421967,3242798714,486419807,810699679,1945679229,348670,242401,106269
DEU,Germany,4,Brandenburg,Total,Ind,S/LFM+CDH/H:1/IND,2456,2843934,6485597429,972839614,1621399357,3891358457,696776,484270,212506
DEU,Germany,4,Brandenburg,Total,Ind,S/LFM+CDL/H:1/IND,2609,3021680,6890947268,1033642090,1722736817,4134568361,740324,514537,225787
DEU,Germany,4,Brandenburg,Total,Ind,W/LWAL+CDM/H:1/IND,460,533238,1155247042,173287056,288811760,693148225,83428,46165,37263
DEU,Germany,5,Bremen,Total,Ind,CR+PC/LFM+CDL/H:1/IND,1369,1585700,3797000630,569550095,949250158,2278200378,676664,485191,191473
DEU,Germany,5,Bremen,Total,Ind,CR+PC/LFM+CDM/H:2/IND,913,1057133,2531333754,379700063,632833438,1518800252,451605,323903,127702
DEU,Germany,5,Bremen,Total,Ind,CR/LFINF+CDL/H:1/IND,609,704755,1687555836,253133375,421888959,1012533501,300740,215641,85099
DEU,Germany,5,Bremen,Total,Ind,CR/LFINF+CDM/H:2/IND,609,704755,1687555836,253133375,421888959,1012533501,301070,215936,85134
DEU,Germany,5,Bremen,Total,Ind,MUR/LWAL+CDN/H:1/IND,532,616661,1335981703,200397256,333995426,801589022,306734,260610,46125
DEU,Germany,5,Bremen,Total,Ind,S+SL/LFM+CDL/H:1/IND,228,264283,602698513,90404777,150674628,361619108,64751,45003,19748
DEU,Germany,5,Bremen,Total,Ind,S+SL/LFM+CDM/H:2/IND,609,704755,1607196034,241079405,401799009,964317620,172808,120139,52669
DEU,Germany,5,Bremen,Total,Ind,S/LFM+CDH/H:1/IND,1217,1409511,3214392068,482158810,803598017,1928635241,345336,240014,105322
DEU,Germany,5,Bremen,Total,Ind,S/LFM+CDL/H:1/IND,1293,1497605,3415291572,512293736,853822893,2049174943,366919,255015,111905
DEU,Germany,5,Bremen,Total,Ind,W/LWAL+CDM/H:1/IND,228,264283,572563587,85884538,143140897,343538152,41348,22880,18468
DEU,Germany,6,Hamburg,Total,Ind,CR+PC/LFM+CDL/H:1/IND,1270,1470532,3521228218,528184233,880307055,2112736931,627518,449952,177566
DEU,Germany,6,Hamburg,Total,Ind,CR+PC/LFM+CDM/H:2/IND,846,980355,2347485479,352122822,586871370,1408491287,418806,300379,118427
DEU,Germany,6,Hamburg,Total,Ind,CR/LFINF+CDL/H:1/IND,564,653570,1564990319,234748548,391247580,938994192,278897,199979,78918
DEU,Germany,6,Hamburg,Total,Ind,CR/LFINF+CDM/H:2/IND,564,653570,1564990319,234748548,391247580,938994192,279204,200253,78951
DEU,Germany,6,Hamburg,Total,Ind,MUR/LWAL+CDN/H:1/IND,494,571874,1238950669,185842600,309737667,743370402,284456,241682,42775
DEU,Germany,6,Hamburg,Total,Ind,S+SL/LFM+CDL/H:1/IND,212,245089,558925114,83838767,139731279,335355068,60048,41734,18314
DEU,Germany,6,Hamburg,Total,Ind,S+SL/LFM+CDM/H:2/IND,564,653570,1490466971,223570046,372616743,894280182,160257,111413,48844
DEU,Germany,6,Hamburg,Total,Ind,S/LFM+CDH/H:1/IND,1129,1307140,2980933941,447140091,745233485,1788560365,320254,222582,97673
DEU,Germany,6,Hamburg,Total,Ind,S/LFM+CDL/H:1/IND,1199,1388836,3167242313,475086347,791810578,1900345388,340270,236493,103777
DEU,Germany,6,Hamburg,Total,Ind,W/LWAL+CDM/H:1/IND,212,245089,530978858,79646829,132744715,318587315,38345,21219,17127
DEU,Germany,7,Hessen,Total,Ind,CR+PC/LFM+CDL/H:1/IND,4377,5069063,12138007692,1820701154,3034501923,7282804616,2163116,1551028,612088
DEU,Germany,7,Hessen,Total,Ind,CR+PC/LFM+CDM/H:2/IND,2918,3379375,8092005128,1213800769,2023001282,4855203077,1443663,1035434,408229
DEU,Germany,7,Hessen,Total,Ind,CR/LFINF+CDL/H:1/IND,1945,2252917,5394670085,809200513,1348667521,3236802051,961385,689346,272039
DEU,Germany,7,Hessen,Total,Ind,CR/LFINF+CDM/H:2/IND,1945,2252917,5394670085,809200513,1348667521,3236802051,962442,690289,272153
DEU,Germany,7,Hessen,Total,Ind,MUR/LWAL+CDN/H:1/IND,1702,1971302,4270780484,640617073,1067695121,2562468291,980548,833100,147448
DEU,Germany,7,Hessen,Total,Ind,S+SL/LFM+CDL/H:1/IND,729,844844,1926667888,289000183,481666972,1156000733,206991,143862,63129
DEU,Germany,7,Hessen,Total,Ind,S+SL/LFM+CDM/H:2/IND,1945,2252917,5137781034,770667155,1284445258,3082668620,552421,384053,168369
DEU,Germany,7,Hessen,Total,Ind,S/LFM+CDH/H:1/IND,3891,4505834,10275562068,1541334310,2568890517,6165337241,1103947,767261,336687
DEU,Germany,7,Hessen,Total,Ind,S/LFM+CDL/H:1/IND,4134,4787449,10917784697,1637667705,2729446174,6550670818,1172944,815214,357730
DEU,Germany,7,Hessen,Total,Ind,W/LWAL+CDM/H:1/IND,729,844844,1830334493,274550174,457583623,1098200696,132181,73142,59038
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,CR+PC/LFM+CDL/H:1/IND,767,887960,2126244022,318936603,531561005,1275746413,378918,271697,107221
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,CR+PC/LFM+CDM/H:2/IND,511,591973,1417496015,212624402,354374004,850497609,252890,181380,71510
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,CR/LFINF+CDL/H:1/IND,341,394649,944997343,141749601,236249336,566998406,168408,120754,47654
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,CR/LFINF+CDM/H:2/IND,341,394649,944997343,141749601,236249336,566998406,168593,120920,47674
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,MUR/LWAL+CDN/H:1/IND,298,345318,748122897,112218434,187030724,448873738,171765,145936,25829
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,S+SL/LFM+CDL/H:1/IND,128,147993,337499051,50624858,84374763,202499431,36259,25201,11059
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,S+SL/LFM+CDM/H:2/IND,341,394649,899997470,134999620,224999367,539998482,96769,67275,29494
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,S/LFM+CDH/H:1/IND,682,789298,1799994939,269999241,449998735,1079996963,193381,134403,58978
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,S/LFM+CDL/H:1/IND,724,838629,1912494623,286874193,478123656,1147496774,205468,142803,62664
DEU,Germany,8,Mecklenburg-Vorpommern,Total,Ind,W/LWAL+CDM/H:1/IND,128,147993,320624099,48093615,80156025,192374459,23154,12813,10342
