ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
IRL,Ireland,1,Carlow,Total,Ind,CR+PC/LFM+CDN/H:1/IND,20,16242,38892277,5833842,9723069,23335366,6931,4970,1961
IRL,Ireland,1,Carlow,Total,Ind,CR/LFINF+CDN/H:1/IND,5,4061,9723069,1458460,2430767,5833842,1733,1242,490
IRL,Ireland,1,Carlow,Total,Ind,CR/LFM+CDN/H:2/IND,20,16242,38892277,5833842,9723069,23335366,6939,4977,1962
IRL,Ireland,1,Carlow,Total,Ind,MUR/LWAL+CDN/H:1/IND,5,4061,8797063,1319559,2199266,5278238,2020,1716,304
IRL,Ireland,1,Carlow,Total,Ind,S+SL/LFM+CDN/H:1/IND,25,20303,46300330,6945049,11575082,27780198,4974,3457,1517
IRL,Ireland,1,Carlow,Total,Ind,S/LFBR+CDN/H:1/IND,10,8121,18520132,2778020,4630033,11112079,2066,1460,606
IRL,Ireland,1,Carlow,Total,Ind,S/LFM+CDN/H:1/IND,15,12182,27780198,4167030,6945049,16668119,2985,2074,910
IRL,Ireland,2,Cavan,Total,Ind,CR+PC/LFM+CDN/H:1/IND,30,23982,57424899,8613735,14356225,34454939,10234,7338,2896
IRL,Ireland,2,Cavan,Total,Ind,CR/LFINF+CDN/H:1/IND,8,5995,14356225,2153434,3589056,8613735,2558,1835,724
IRL,Ireland,2,Cavan,Total,Ind,CR/LFM+CDN/H:2/IND,30,23982,57424899,8613735,14356225,34454939,10245,7348,2897
IRL,Ireland,2,Cavan,Total,Ind,MUR/LWAL+CDN/H:1/IND,8,5995,12988965,1948345,3247241,7793379,2982,2534,448
