ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,CR+PC/LFM+CDL/H:1/IND,170,401109,300122893,45018434,75030723,180073736,171165,122731,48434
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,CR+PC/LFM+CDM/H:2/IND,19,44568,33346988,5002048,8336747,20008193,19040,13656,5384
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,CR/LFINF+CDL/H:2/IND,142,334258,250102411,37515362,62525603,150061446,142795,102416,40379
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,CR/LFM+CDH/H:2/IND,189,445677,333469881,50020482,83367470,200081928,190393,136555,53838
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,MUR/LWAL+CDN/H:1/IND,95,222838,150879621,22631943,37719905,90527773,110843,94175,16668
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,S+SL/LFM+CDH/H:1/IND,237,557096,397018202,59552730,99254551,238210921,136491,94863,41628
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,S/LFM+CDL/H:1/IND,76,178271,127045825,19056874,31761456,76227495,43678,30357,13321
MDA,Moldova,MDA.10_1,Mun. Chisinau,Total,Ind,S/LFM+CDM/H:1/IND,19,44568,31761456,4764218,7940364,19056874,10920,7589,3331
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,CR+PC/LFM+CDL/H:1/IND,1,1797,1344677,201702,336169,806806,767,550,217
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,CR+PC/LFM+CDM/H:2/IND,0,200,149409,22411,37352,89645,85,61,24
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,CR/LFINF+CDL/H:2/IND,1,1498,1120564,168085,280141,672339,640,459,181
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,CR/LFM+CDH/H:2/IND,1,1997,1494086,224113,373521,896451,853,612,241
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,MUR/LWAL+CDN/H:1/IND,0,998,676004,101401,169001,405603,497,422,75
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,S+SL/LFM+CDH/H:1/IND,1,2496,1778809,266821,444702,1067285,612,425,187
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,S/LFM+CDL/H:1/IND,0,799,569219,85383,142305,341531,196,136,60
MDA,Moldova,MDA.11_1,Cimislia,Total,Ind,S/LFM+CDM/H:1/IND,0,200,142305,21346,35576,85383,49,34,15
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,CR+PC/LFM+CDL/H:1/IND,5,12318,9216670,1382501,2304168,5530002,5256,3769,1487
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,CR+PC/LFM+CDM/H:2/IND,1,1369,1024074,153611,256019,614445,585,419,165
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,CR/LFINF+CDL/H:2/IND,4,10265,7680559,1152084,1920140,4608335,4385,3145,1240
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,CR/LFM+CDH/H:2/IND,6,13687,10240745,1536112,2560186,6144447,5847,4194,1653
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,MUR/LWAL+CDN/H:1/IND,3,6843,4633461,695019,1158365,2780077,3404,2892,512
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,S+SL/LFM+CDH/H:1/IND,7,17108,12192292,1828844,3048073,7315375,4192,2913,1278
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,S/LFM+CDL/H:1/IND,2,5475,3901533,585230,975383,2340920,1341,932,409
MDA,Moldova,MDA.12_1,Criuleni,Total,Ind,S/LFM+CDM/H:1/IND,1,1369,975383,146307,243846,585230,335,233,102
MDA,Moldova,MDA.13_1,Donduseni,Total,Ind,CR+PC/LFM+CDL/H:1/IND,34,79296,59332130,8899820,14833033,35599278,33838,24263,9575
MDA,Moldova,MDA.13_1,Donduseni,Total,Ind,CR+PC/LFM+CDM/H:2/IND,4,8811,6592459,988869,1648115,3955475,3764,2700,1064
MDA,Moldova,MDA.13_1,Donduseni,Total,Ind,CR/LFINF+CDL/H:2/IND,28,66080,49443442,7416516,12360860,29666065,28229,20247,7983
MDA,Moldova,MDA.13_1,Donduseni,Total,Ind,CR/LFM+CDH/H:2/IND,37,88107,65924589,9888688,16481147,39554754,37639,26996,10643
