ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
SWE,Sweden,1,Ostergotland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1343,1792596,4560593575,684089036,1140148394,2736356145,764953.0282828885,548497.3414372088,216455.68684568023
SWE,Sweden,1,Ostergotland,Total,Ind,CR/LFM+CDN/H:2/IND,537,717038,1824237430,273635614,456059358,1094542458,306318.07198094716,219699.48724831792,86618.5847326288
SWE,Sweden,1,Ostergotland,Total,Ind,MUR/LWAL+CDN/H:1/IND,107,143408,330115680,49517352,82528920,198069408,71333.36891270567,60606.491182467,10726.877730238575
SWE,Sweden,1,Ostergotland,Total,Ind,S+SL/LFM+CDN/H:1/IND,430,573631,1389926332,208488950,347481583,833955799,140542.53135169126,97679.12541456713,42863.405937124095
SWE,Sweden,1,Ostergotland,Total,Ind,S/LFBR+CDN/H:1/IND,537,717038,1737407914,260611187,434351979,1042444749,182456.42031995687,128946.57709344219,53509.84322651472
SWE,Sweden,1,Ostergotland,Total,Ind,S/LFM+CDN/H:1/IND,1612,2151115,5212223743,781833562,1303055936,3127334246,527032.2844041612,366295.6162222858,160736.66818187493
SWE,Sweden,1,Ostergotland,Total,Ind,W/LWAL+CDN/H:1/IND,806,1075558,2475867598,371380140,618966900,1485520559,168276.75398473445,93116.28935366072,75160.46463107402
SWE,Sweden,2,Blekinge,Total,Ind,CR+PC/LFM+CDN/H:1/IND,309,412559,1049603503,157440526,262400876,629762102,176051.12400447772,126234.63261860918,49816.49138586843
SWE,Sweden,2,Blekinge,Total,Ind,CR/LFM+CDN/H:2/IND,124,165024,419841401,62976210,104960350,251904841,70498.00926630087,50563.03988022696,19934.96938607396
SWE,Sweden,2,Blekinge,Total,Ind,MUR/LWAL+CDN/H:1/IND,25,33005,75974885,11396233,18993721,45584931,16417.161341684438,13948.383633389185,2468.7777082952493
SWE,Sweden,2,Blekinge,Total,Ind,S+SL/LFM+CDN/H:1/IND,99,132019,319886331,47982950,79971583,191931799,32345.390456095767,22480.511333160764,9864.879122935006
SWE,Sweden,2,Blekinge,Total,Ind,S/LFBR+CDN/H:1/IND,124,165024,399857914,59978687,99964478,239914748,41991.71477263549,29676.598045002876,12315.116727632596
SWE,Sweden,2,Blekinge,Total,Ind,S/LFM+CDN/H:1/IND,371,495071,1199573742,179936061,299893436,719744245,121294.55730115282,84301.58904474965,36992.96825640312
SWE,Sweden,2,Blekinge,Total,Ind,W/LWAL+CDN/H:1/IND,185,247536,569811640,85471746,142452910,341886984,38728.31775706777,21430.391730085234,17297.92602698253
SWE,Sweden,3,Dalarna,Total,Ind,CR+PC/LFM+CDN/H:1/IND,938,1251799,3184736080,477710412,796184020,1910841648,534179.2587103314,383024.65184584307,151154.60686448778
SWE,Sweden,3,Dalarna,Total,Ind,CR/LFM+CDN/H:2/IND,375,500720,1273894432,191084165,318473608,764336659,213907.06852812227,153419.80502522906,60487.26350289337
SWE,Sweden,3,Dalarna,Total,Ind,MUR/LWAL+CDN/H:1/IND,75,100144,230525106,34578766,57631277,138315063,49813.45883511237,42322.598864792584,7490.859970319826
SWE,Sweden,3,Dalarna,Total,Ind,S+SL/LFM+CDN/H:1/IND,300,400576,970607984,145591198,242651996,582364791,98143.33367443315,68211.01752584602,29932.316148587026
SWE,Sweden,3,Dalarna,Total,Ind,S/LFBR+CDN/H:1/IND,375,500720,1213259980,181988997,303314995,727955988,127412.47863267918,90045.58354182339,37366.89509085562
SWE,Sweden,3,Dalarna,Total,Ind,S/LFM+CDN/H:1/IND,1126,1502159,3639779941,545966991,909944985,2183867964,368035.36434556136,255790.2472551418,112245.11709042022
SWE,Sweden,3,Dalarna,Total,Ind,W/LWAL+CDN/H:1/IND,563,751079,1728938293,259340744,432234573,1037362976,117510.58883811932,65024.715481945976,52485.87335617333
SWE,Sweden,4,Gavleborg,Total,Ind,CR+PC/LFM+CDN/H:1/IND,756,1008645,2566122568,384918385,641530642,1539673541,430418.54619915545,308624.69910927344,121793.8470898823
SWE,Sweden,4,Gavleborg,Total,Ind,CR/LFM+CDN/H:2/IND,302,403458,1026449027,153967354,256612257,615869416,172357.06967393265,123619.0457799418,48738.02389399065
SWE,Sweden,4,Gavleborg,Total,Ind,MUR/LWAL+CDN/H:1/IND,60,80692,185747158,27862074,46436790,111448295,40137.53733913858,34101.72289505922,6035.814444079359
SWE,Sweden,4,Gavleborg,Total,Ind,S+SL/LFM+CDN/H:1/IND,242,322767,782073927,117311089,195518482,469244356,79079.65983256753,54961.490771794844,24118.169060772627
SWE,Sweden,4,Gavleborg,Total,Ind,S/LFBR+CDN/H:1/IND,302,403458,977592409,146638861,244398102,586555445,102663.4707162367,72554.8395485492,30108.631167687512
SWE,Sweden,4,Gavleborg,Total,Ind,S/LFM+CDN/H:1/IND,907,1210374,2932777227,439916584,733194307,1759666336,296546.98316700285,206104.7197916682,90442.26337533491
SWE,Sweden,4,Gavleborg,Total,Ind,W/LWAL+CDN/H:1/IND,454,605187,1393103686,208965553,348275922,835862212,94684.95625539517,52394.10641776653,42290.84983762866
SWE,Sweden,5,Gotland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,101,134136,341259276,51188891,85314819,204755566,57239.80254265174,41042.87788359528,16196.924659056423
SWE,Sweden,5,Gotland,Total,Ind,CR/LFM+CDN/H:2/IND,40,53654,136503710,20475557,34125928,81902226,22921.14850078257,16439.651172309193,6481.49732847338
SWE,Sweden,5,Gotland,Total,Ind,MUR/LWAL+CDN/H:1/IND,8,10731,24701837,3705276,6175459,14821102,5337.755392776318,4535.069069601137,802.6863231751805
SWE,Sweden,5,Gotland,Total,Ind,S+SL/LFM+CDN/H:1/IND,32,42924,104005158,15600774,26001289,62403095,10516.526155089045,7309.13347779813,3207.3926772909144
SWE,Sweden,5,Gotland,Total,Ind,S/LFBR+CDN/H:1/IND,40,53654,130006447,19500967,32501612,78003868,13652.851102165767,9648.808729746701,4004.0423724190623
SWE,Sweden,5,Gotland,Total,Ind,S/LFM+CDN/H:1/IND,121,160963,390019341,58502901,97504835,234011605,39436.711900815164,27409.119951358607,12027.591949456553
SWE,Sweden,5,Gotland,Total,Ind,W/LWAL+CDN/H:1/IND,60,80482,185263775,27789566,46315944,111158265,12591.817579314838,6967.706401487519,5624.111177827319
SWE,Sweden,6,Halland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,566,755527,1922158261,288323739,480539565,1153294957,322405.51040003507,231175.7311847605,91229.77921527455
SWE,Sweden,6,Halland,Total,Ind,CR/LFM+CDN/H:2/IND,226,302211,768863304,115329496,192215826,461317983,129104.14390396408,92596.94724696205,36507.196657002045
SWE,Sweden,6,Halland,Total,Ind,MUR/LWAL+CDN/H:1/IND,45,60442,139134209,20870131,34783552,83480526,30064.889297168796,25543.851714407683,4521.037582761137
SWE,Sweden,6,Halland,Total,Ind,S+SL/LFM+CDN/H:1/IND,181,241769,585813740,87872061,146453435,351488244,59234.54915339859,41168.89459045943,18065.654562939155
SWE,Sweden,6,Halland,Total,Ind,S/LFBR+CDN/H:1/IND,226,302211,732267176,109840076,183066794,439360305,76900.04085088793,54347.220955092926,22552.819895795023
SWE,Sweden,6,Halland,Total,Ind,S/LFM+CDN/H:1/IND,679,906633,2196801527,329520229,549200382,1318080916,222128.7995266447,154382.97481492287,67745.82471172186
SWE,Sweden,6,Halland,Total,Ind,W/LWAL+CDN/H:1/IND,340,453316,1043506570,156525985,260876642,626103942,70923.72168595208,39245.79118643081,31677.930499521277
SWE,Sweden,7,Jamtland,Total,Ind,CR+PC/LFM+CDN/H:1/IND,354,472388,1201815094,180272264,300453774,721089057,201581.71755012815,144540.93931659797,57040.778233530174
SWE,Sweden,7,Jamtland,Total,Ind,CR/LFM+CDN/H:2/IND,142,188955,480726038,72108906,120181509,288435623,80721.48209529155,57895.58983269927,22825.892262592228
SWE,Sweden,7,Jamtland,Total,Ind,MUR/LWAL+CDN/H:1/IND,28,37791,86992625,13048894,21748156,52195575,18797.927968258988,15971.142732606457,2826.7852356525286
SWE,Sweden,7,Jamtland,Total,Ind,S+SL/LFM+CDN/H:1/IND,113,151164,366275665,54941350,91568916,219765399,37036.03989817691,25740.58407294959,11295.455825227311
SWE,Sweden,7,Jamtland,Total,Ind,S/LFBR+CDN/H:1/IND,142,188955,457844581,68676687,114461145,274706749,48081.25662212295,33980.23419131879,14101.022430804125
SWE,Sweden,7,Jamtland,Total,Ind,S/LFM+CDN/H:1/IND,425,566865,1373533744,206030062,343383436,824120247,138884.45313611336,96526.84203253587,42357.61110357743
SWE,Sweden,7,Jamtland,Total,Ind,W/LWAL+CDN/H:1/IND,212,283433,652444688,97866703,163111172,391466813,44344.607706906536,24538.178035020086,19806.429671886403
SWE,Sweden,8,Jonkoping,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1225,1635056,4159791891,623968784,1039947973,2495875135,697726.386196875,500293.501403104,197432.88479377134
SWE,Sweden,8,Jonkoping,Total,Ind,CR/LFM+CDN/H:2/IND,490,654022,1663916756,249587513,415979189,998350054,279397.9513651805,200391.60812415904,79006.34324102118
SWE,Sweden,8,Jonkoping,Total,Ind,MUR/LWAL+CDN/H:1/IND,98,130804,301103904,45165585,75275976,180662342,65064.5655357506,55280.287841155776,9784.277694594854
SWE,Sweden,8,Jonkoping,Total,Ind,S+SL/LFM+CDN/H:1/IND,392,523218,1267774510,190166176,316943627,760664706,128191.37303546662,89094.8430561584,39096.529979308194
SWE,Sweden,8,Jonkoping,Total,Ind,S/LFBR+CDN/H:1/IND,490,654022,1584718137,237707721,396179534,950830882,166421.71577074783,117614.3964444705,48807.31932627738
SWE,Sweden,8,Jonkoping,Total,Ind,S/LFM+CDN/H:1/IND,1470,1962067,4754154411,713123162,1188538603,2852492647,480714.98958789965,334104.33181304403,146610.65777485567
SWE,Sweden,8,Jonkoping,Total,Ind,W/LWAL+CDN/H:1/IND,735,981034,2258279277,338741891,564569819,1354967566,153488.21050050406,84933.00575718029,68555.2047433238
SWE,Sweden,9,Kalmar,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1118,1491323,3794115566,569117335,948528892,2276469340,636390.9876957675,456313.96345771337,180077.02423805394
SWE,Sweden,9,Kalmar,Total,Ind,CR/LFM+CDN/H:2/IND,447,596529,1517646226,227646934,379411557,910587736,254836.7013703221,182775.65401017206,72061.04736014949
SWE,Sweden,9,Kalmar,Total,Ind,MUR/LWAL+CDN/H:1/IND,89,119306,274634654,41195198,68658664,164780793,59344.79774496416,50420.686864320756,8924.110880643364
SWE,Sweden,9,Kalmar,Total,Ind,S+SL/LFM+CDN/H:1/IND,358,477223,1156327799,173449170,289081950,693796679,116922.29422389335,81262.69378566137,35659.60043823206
SWE,Sweden,9,Kalmar,Total,Ind,S/LFBR+CDN/H:1/IND,447,596529,1445409748,216811462,361352437,867245849,151791.90844030745,107275.16851446126,44516.73992584615
SWE,Sweden,9,Kalmar,Total,Ind,S/LFM+CDN/H:1/IND,1341,1789587,4336229246,650434387,1084057311,2601737547,438456.4901497442,304734.0451013024,133722.4450484422
SWE,Sweden,9,Kalmar,Total,Ind,W/LWAL+CDN/H:1/IND,671,894794,2059759906,308963986,514939977,1235855944,139995.35347970636,77466.71261824896,62528.6408614575
SWE,Sweden,10,Kronoberg,Total,Ind,CR+PC/LFM+CDN/H:1/IND,403,537817,1368275238,205241286,342068809,820965143,229502.2990672792,164560.93486446995,64941.36420280928
SWE,Sweden,10,Kronoberg,Total,Ind,CR/LFM+CDN/H:2/IND,161,215127,547310095,82096514,136827524,328386057,91902.04077006421,65914.57343410415,25987.467335960075
SWE,Sweden,10,Kronoberg,Total,Ind,MUR/LWAL+CDN/H:1/IND,32,43025,99041737,14856261,24760434,59425042,21401.623403714853,18183.285072545426,3218.338331169427
SWE,Sweden,10,Kronoberg,Total,Ind,S+SL/LFM+CDN/H:1/IND,129,172101,417007512,62551127,104251878,250204507,42165.846665119985,29305.865189916105,12859.981475203911
SWE,Sweden,10,Kronoberg,Total,Ind,S/LFBR+CDN/H:1/IND,161,215127,521259390,78188909,130314848,312755634,54740.90634826636,38686.76685951411,16054.139488752282
SWE,Sweden,10,Kronoberg,Total,Ind,S/LFM+CDN/H:1/IND,484,645380,1563778172,234566726,390944543,938266903,158121.00690422492,109896.53541719791,48224.47148702713
SWE,Sweden,10,Kronoberg,Total,Ind,W/LWAL+CDN/H:1/IND,242,322690,742813029,111421954,185703257,445687817,50486.70434406852,27936.91715854266,22549.787185525845
SWE,Sweden,11,Norrbotten,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1653,2206018,5612391331,841858700,1403097833,3367434799,941371.986086999,674995.7690839431,266376.21700305416
SWE,Sweden,11,Norrbotten,Total,Ind,CR/LFM+CDN/H:2/IND,661,882407,2244956532,336743480,561239133,1346973920,376963.2505526488,270368.1266000482,106595.12395259982
SWE,Sweden,11,Norrbotten,Total,Ind,MUR/LWAL+CDN/H:1/IND,132,176481,406249395,60937409,101562349,243749637,87784.64062273804,74583.92936850793,13200.711254230027
SWE,Sweden,11,Norrbotten,Total,Ind,S+SL/LFM+CDN/H:1/IND,529,705926,1710481402,256572210,427620351,1026288842,172955.3310004306,120206.52817471777,52748.80282571278
SWE,Sweden,11,Norrbotten,Total,Ind,S/LFBR+CDN/H:1/IND,661,882407,2138101753,320715263,534525438,1282861052,224535.71044785262,158685.11037384043,65850.6000740123
SWE,Sweden,11,Norrbotten,Total,Ind,S/LFM+CDN/H:1/IND,1984,2647222,6414305260,962145789,1603576315,3848583156,648580.203941246,450773.3370000074,197806.86694123872
SWE,Sweden,11,Norrbotten,Total,Ind,W/LWAL+CDN/H:1/IND,992,1323611,3046870461,457030569,761717615,1828122276,207085.8247891307,114591.37717891949,92494.44761021112
SWE,Sweden,12,Orebro,Total,Ind,CR+PC/LFM+CDN/H:1/IND,1097,1463746,3723957900,558593685,930989475,2234374740,624623.1439894907,447876.0683961199,176747.07559337048
SWE,Sweden,12,Orebro,Total,Ind,CR/LFM+CDN/H:2/IND,439,585499,1489583160,223437474,372395790,893749896,250124.24589415756,179395.80452198122,70728.4413721764
