ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
BLR,Belarus,1,Brest,RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,42139,10112766,6875415681,2062624712,3437707838,1375083136,4371414,2337486,2033928
BLR,Belarus,1,Brest,RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,6585,1643324,1010849792,303254934,505424892,202169954,835751,698005,137746
BLR,Belarus,1,Brest,RURAL,Res,MUR/LWAL+CDN/H:1/RES,51354,3697477,2274412052,682323614,1137206025,454882408,1619044,1311262,307781
BLR,Belarus,1,Brest,RURAL,Res,W/LFM+CDL/H:1/RES,31602,2275370,1399638197,419891458,699819099,279927641,380566,138620,241946
BLR,Belarus,1,Brest,URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,34553,8292794,7314244576,2194273373,3657122288,1462848915,3584696,1916812,1667884
BLR,Belarus,1,Brest,URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,5399,1347579,1075368117,322610435,537684058,215073623,685340,572385,112955
BLR,Belarus,1,Brest,URBAN,Res,MUR/LWAL+CDN/H:1/RES,42112,2627779,2096967794,629090338,1048483897,419393559,1150643,931906,218737
BLR,Belarus,1,Brest,URBAN,Res,W/LFM+CDL/H:1/RES,25915,1865879,1488971217,446691365,744485609,297794243,312073,113671,198402
BLR,Belarus,2,Homyel',RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,36607,8785504,5973045746,1791913724,2986522863,1194609143,3797684,2030701,1766983
BLR,Belarus,2,Homyel',RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,5721,1427646,878179917,263453979,439089963,175635982,726063,606395,119667
BLR,Belarus,2,Homyel',RURAL,Res,MUR/LWAL+CDN/H:1/RES,44614,3212201,1975904861,592771455,987952438,395180978,1406553,1139166,267387
BLR,Belarus,2,Homyel',RURAL,Res,W/LFM+CDL/H:1/RES,27457,1976751,1215941460,364782440,607970723,243188288,330621,120428,210193
BLR,Belarus,2,Homyel',URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,43175,10362090,9139363634,2741809090,4569681817,1827872727,4479183,2395113,2084071
BLR,Belarus,2,Homyel',URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,6746,1683840,1343704032,403111210,671852016,268740806,856353,715212,141140
BLR,Belarus,2,Homyel',URBAN,Res,MUR/LWAL+CDN/H:1/RES,52620,3283488,2620222906,786066872,1310111453,524044581,1437762,1164444,273318
BLR,Belarus,2,Homyel',URBAN,Res,W/LFM+CDL/H:1/RES,32382,2331470,1860513308,558153992,930256654,372102662,389944,142035,247909
BLR,Belarus,3,Hrodna,RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,31932,7664083,5210614765,1563184427,2605307389,1042122955,3312930,1771493,1541437
BLR,Belarus,3,Hrodna,RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,4990,1245412,766084459,229825335,383042230,153216898,633383,528991,104392
BLR,Belarus,3,Hrodna,RURAL,Res,MUR/LWAL+CDN/H:1/RES,38917,2802176,1723689967,517106991,861844984,344737987,1227012,993756,233256
BLR,Belarus,3,Hrodna,RURAL,Res,W/LFM+CDL/H:1/RES,23952,1724418,1060732281,318219682,530366144,212146459,288417,105055,183362
BLR,Belarus,3,Hrodna,URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,29680,7123303,6282753084,1884825925,3141376542,1256550617,3079164,1646494,1432671
BLR,Belarus,3,Hrodna,URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,4638,1157537,923714325,277114297,461857162,184742865,588690,491665,97025
BLR,Belarus,3,Hrodna,URBAN,Res,MUR/LWAL+CDN/H:1/RES,36173,2257197,1801242880,540372864,900621440,360248576,988373,800484,187889
BLR,Belarus,3,Hrodna,URBAN,Res,W/LFM+CDL/H:1/RES,22260,1602743,1278989032,383696710,639494516,255797806,268062,97640,170422
BLR,Belarus,4,Mahilyow,RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,29429,7062658,4801723523,1440517057,2400861758,960344703,3052955,1632478,1420476
BLR,Belarus,4,Mahilyow,RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,4599,1147675,705967592,211790274,352983794,141193521,583677,487477,96200
BLR,Belarus,4,Mahilyow,RURAL,Res,MUR/LWAL+CDN/H:1/RES,35863,2582279,1588427293,476528182,794213640,317685454,1130724,915772,214952
BLR,Belarus,4,Mahilyow,RURAL,Res,W/LFM+CDL/H:1/RES,22072,1589101,977493715,293248118,488746855,195498743,265785,96812,168974
BLR,Belarus,4,Mahilyow,URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,33453,8028685,7081300579,2124390174,3540650290,1416260116,3470531,1855765,1614766
BLR,Belarus,4,Mahilyow,URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,5227,1304661,1041119774,312335932,520559887,208223955,663513,554156,109357
BLR,Belarus,4,Mahilyow,URBAN,Res,MUR/LWAL+CDN/H:1/RES,40771,2544090,2030183577,609055073,1015091789,406036716,1113997,902227,211770
BLR,Belarus,4,Mahilyow,URBAN,Res,W/LFM+CDL/H:1/RES,25090,1806454,1441550476,432465143,720775238,288310095,302134,110051,192083
BLR,Belarus,5,Minsk,RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,43771,10504947,7142048770,2142614630,3571024388,1428409749,4540942,2428136,2112806
BLR,Belarus,5,Minsk,RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,6838,1707056,1050051247,315015370,525025621,210010254,868163,725075,143088
BLR,Belarus,5,Minsk,RURAL,Res,MUR/LWAL+CDN/H:1/RES,53347,3840870,2362615225,708784573,1181307619,472523044,1681833,1362115,319718
BLR,Belarus,5,Minsk,RURAL,Res,W/LFM+CDL/H:1/RES,32828,2363615,1453917064,436175125,726958533,290783411,395327,143997,251330
BLR,Belarus,5,Minsk,URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,125260,30062289,26514939259,7954481777,13257469628,5302987852,12994917,6948654,6046264
BLR,Belarus,5,Minsk,URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,19572,4885122,3898327418,1169498225,1949163709,779665484,2484433,2074959,409473
BLR,Belarus,5,Minsk,URBAN,Res,MUR/LWAL+CDN/H:1/RES,152661,9525988,7601738403,2280521520,3800869201,1520347680,4171206,3378261,792945
BLR,Belarus,5,Minsk,URBAN,Res,W/LFM+CDL/H:1/RES,93944,6764015,5397684063,1619305219,2698842031,1079536813,1131297,412070,719228
BLR,Belarus,6,Vitsyebsk,RURAL,Res,CR/LWAL+CDL/HBET:3-5/RES,36674,8801874,5984177335,1795253189,2992088658,1196835468,3804761,2034485,1770276
BLR,Belarus,6,Vitsyebsk,RURAL,Res,MUR+CB/LWAL+CDN/H:1/RES,5731,1430291,879809417,263942824,439904712,175961874,727408,607519,119889
BLR,Belarus,6,Vitsyebsk,RURAL,Res,MUR/LWAL+CDN/H:1/RES,44697,3218174,1979587236,593876168,989793614,395917453,1409170,1141285,267885
BLR,Belarus,6,Vitsyebsk,RURAL,Res,W/LFM+CDL/H:1/RES,27506,1980427,1218207514,365462260,609103764,243641508,331237,120652,210585
BLR,Belarus,6,Vitsyebsk,URBAN,Res,CR/LWAL+CDL/HBET:3-5/RES,35015,8403516,7411901303,2223570391,3705950651,1482380260,3632558,1942404,1690153
BLR,Belarus,6,Vitsyebsk,URBAN,Res,MUR+CB/LWAL+CDN/H:1/RES,5470,1365369,1089564529,326869358,544782264,217912906,694387,579942,114446
BLR,Belarus,6,Vitsyebsk,URBAN,Res,MUR/LWAL+CDN/H:1/RES,42673,2662823,2124933356,637480007,1062466678,424986671,1165988,944334,221654
BLR,Belarus,6,Vitsyebsk,URBAN,Res,W/LFM+CDL/H:1/RES,26261,1890791,1508851338,452655402,754425669,301770268,316239,115189,201051
