ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
CZE,Czechia,1,Ustecky,RURAL,Res,CR/LFINF+CDL/HBET:4-10/RES,1548,315954,302623806,90787143,151311903,60524760,121748.88005973097,58045.537798153375,63703.34226157769
CZE,Czechia,1,Ustecky,RURAL,Res,CR/LFINF+CDN/HBET:4-10/RES,8776,1790405,1714868244,514460474,857434123,342973649,689907.7825066902,328923.4455720939,360984.3369345969
CZE,Czechia,1,Ustecky,RURAL,Res,CR/LWAL+CDL/HBET:4-10/RES,2024,412915,395494572,118648372,197747287,79098915,179188.43160098567,95967.43748059758,83220.99412038743
CZE,Czechia,1,Ustecky,RURAL,Res,CR/LWAL+CDN/HBET:4-10/RES,11470,2339853,2241135912,672340775,1120567954,448227182,1015399.0053104389,543814.4491757001,471584.5561347417
CZE,Czechia,1,Ustecky,RURAL,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,1340,123192,106757454,32027236,53378727,21351493,62689.293279638034,52362.00652995131,10327.286749686733
CZE,Czechia,1,Ustecky,RURAL,Res,MUR+CL/LWAL+CDN/HBET:1-3/RES,2678,246385,213514911,64054472,106757457,42702983,108017.27241690457,87504.25638029064,20513.016036613913
CZE,Czechia,1,Ustecky,RURAL,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,9866,769578,666907085,200072123,333453541,133381417,337592.544026805,273515.5838748566,64076.960151947955
CZE,Czechia,1,Ustecky,RURAL,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,3750,292448,253432917,76029875,126716458,50686582,128289.4526402651,103939.260098395,24350.19254186999
CZE,Czechia,1,Ustecky,RURAL,Res,W/LPB+CDL/HBET:1-3/RES,122,11200,9705231,2911570,4852616,1941047,1875.1843181703416,683.8649550974418,1191.3193630729004
CZE,Czechia,1,Ustecky,URBAN,Res,CR/LFINF+CDL/HBET:4-10/RES,4766,972172,1091228071,327368420,545614035,218245614,374613.3482747892,178602.3017935851,196011.04648120396
CZE,Czechia,1,Ustecky,URBAN,Res,CR/LFINF+CDN/HBET:4-10/RES,27006,5508979,6183625730,1855087720,3091812866,1236725145,2122806.356526325,1012078.3816520296,1110727.9748742983
CZE,Czechia,1,Ustecky,URBAN,Res,CR/LWAL+CDL/HBET:4-10/RES,6229,1270518,1426109787,427832936,713054892,285221956,551352.496528888,295286.32639639,256066.17013249762
CZE,Czechia,1,Ustecky,URBAN,Res,CR/LWAL+CDN/HBET:4-10/RES,35292,7199604,8081288782,2424386634,4040644391,1616257757,3124326.894377279,1673287.220697216,1451039.6736800617
CZE,Czechia,1,Ustecky,URBAN,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,4122,321374,326357957,97907388,163178980,65271591,163538.16910892562,136597.5711087472,26940.598000178594
CZE,Czechia,1,Ustecky,URBAN,Res,MUR+CL/LWAL+CDN/HBET:1-3/RES,8241,642749,652715914,195814773,326357958,130543183,281786.0532521356,228273.775996426,53512.27725570899
CZE,Czechia,1,Ustecky,URBAN,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,30358,2064361,2096374423,628912326,1048187209,419274884,905576.2420743788,733693.2633938133,171882.97868056397
