ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
FRA,France,1,Alsace,Big_City,Res,CR+PC/LWAL+CDN/HBET:3-5/RES,2564,4462126,11352218061,3405665418,5676109031,2270443612,1928827,1031384,897443
FRA,France,1,Alsace,Big_City,Res,CR+PC/LWAL+CDN/HBET:6-/RES,158,420887,1070789488,321236847,535394744,214157898,182078,97392,84686
FRA,France,1,Alsace,Big_City,Res,CR/LDUAL+CDL+LFC:4.0/HBET:3-5/RES,353,614848,1564251069,469275321,782125534,312850214,250914,127231,123683
FRA,France,1,Alsace,Big_City,Res,CR/LDUAL+CDL+LFC:4.0/HBET:6-/RES,291,773042,1966717916,590015375,983358958,393343583,315713,160142,155571
FRA,France,1,Alsace,Big_City,Res,CR/LDUAL+CDM+LFC:7.0/HBET:3-5/RES,120,209099,531973958,159592187,265986979,106394792,85332,43269,42062
FRA,France,1,Alsace,Big_City,Res,CR/LDUAL+CDM+LFC:7.0/HBET:6-/RES,95,253478,644880710,193464213,322440355,128976142,103521,52510,51011
FRA,France,1,Alsace,Big_City,Res,CR/LDUAL+CDN/HBET:6-/RES,211,561182,1427719318,428315795,713859659,285543864,229188,116253,112935
FRA,France,1,Alsace,Big_City,Res,CR/LFINF+CDL+LFC:4.0/H:1/RES,286,28614,72798579,21839574,36399290,14559716,10953,5205,5748
FRA,France,1,Alsace,Big_City,Res,CR/LFINF+CDL+LFC:4.0/H:2/RES,254,37008,94152829,28245849,47076415,18830566,14176,6740,7437
FRA,France,1,Alsace,Big_City,Res,CR/LFINF+CDM+LFC:7.0/H:1/RES,180,17994,45779486,13733846,22889743,9155897,6888,3273,3614
FRA,France,1,Alsace,Big_City,Res,CR/LFINF+CDM+LFC:7.0/H:2/RES,160,23272,59208135,17762441,29604068,11841627,8915,4238,4677
FRA,France,1,Alsace,Big_City,Res,CR/LFINF+CDN/HBET:3-5/RES,1585,2757662,7015844937,2104753481,3507922468,1403168987,1058713,503868,554846
FRA,France,1,Alsace,Big_City,Res,CR/LFLS+CDN/HBET:6-/RES,408,1085571,2761831970,828549591,1380915985,552366394,395883,178125,217758
FRA,France,1,Alsace,Big_City,Res,MUR+CL/LWAL+CDN/H:1/RES,3656,365599,841587121,252476136,420793561,168317424,160087,129655,30433
FRA,France,1,Alsace,Big_City,Res,MUR+CL/LWAL+CDN/H:2/RES,1920,279313,642960452,192888136,321480226,128592090,122378,99126,23252
FRA,France,1,Alsace,Big_City,Res,MUR+ST/LWAL+CDN/H:2/RES,802,116619,268449096,80534729,134224548,53689819,51095,41387,9708
