ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/H:1/RES,602,54156,68890334,20667100,34445167,13778067,22033.372307281836,11157.430391004616,10875.941916277225
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/H:2/RES,1234,104860,133389048,40016714,66694524,26677810,42694.79473887082,21627.417065790698,21067.377673080122
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/H:2/SOS/RES,19,1598,2032468,609740,1016234,406494,650.5611773552464,329.54736524450766,321.0138121107387
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/HBET:3-5/RES,326,100458,127788310,38336493,63894155,25557662,40995.888587848036,20787.771320079435,20208.117267768597
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/HBET:3-5/SOS/RES,19,5790,7364706,2209412,3682353,1472941,2362.6913771972017,1198.0490960159607,1164.6422811812415
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/HBET:6-/RES,2,4153,5282661,1584798,2641330,1056532,1696.0182575530098,860.2874039580479,835.7308535949619
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDH+LFC:15.0/HBET:6-/SOS/RES,0,143,182374,54712,91187,36475,58.56784754539987,29.70790389720226,28.859943648197614
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDL+LFC:12.0/H:1/RES,1127,101448,129048738,38714621,64524369,25809748,41274.01664687694,20900.657494732368,20373.359152144578
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDL+LFC:12.0/H:2/RES,1046,88944,113142614,33942784,56571307,22628523,36214.374158197345,18344.70404094786,17869.670117249487
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDL+LFC:12.0/H:2/SOS/RES,10,823,1046797,314039,523399,209359,335.05383841983024,169.72439726529709,165.32944115453319
GRC,Greece,1,Aegean,Big_City,Res,CR/LDUAL+CDL+LFC:12.0/HBET:3-5/RES,518,159684,203127594,60938278,101563797,40625519,65165.535722705856,33043.46610619367,32122.06961651219
