ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
LUX,Luxembourg,1,Diekirch,RURAL,Res,CR/LFINF+CDN/HBET:4-10/RES,2115,486603,917610074,275283022,458805037,183522015,187506,89396,98110
LUX,Luxembourg,1,Diekirch,RURAL,Res,CR/LWAL+CDN/HBET:4-10/RES,384,88376,166655641,49996692,83327820,33331128,38352,20540,17812
LUX,Luxembourg,1,Diekirch,RURAL,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,93,14351,24483984,7345196,12241992,4896797,7303,6100,1203
LUX,Luxembourg,1,Diekirch,RURAL,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,9407,2351768,4012217895,1203665369,2006108948,802443579,1031653,835840,195813
LUX,Luxembourg,1,Diekirch,RURAL,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,647,162031,276432376,82929713,138216188,55286475,71078,57587,13491
LUX,Luxembourg,1,Diekirch,RURAL,Res,W/LPB+CDL/HBET:1-3/RES,412,63864,108953824,32686147,54476912,21790765,10692,3899,6793
LUX,Luxembourg,1,Diekirch,URBAN,Res,CR/LFINF+CDN/HBET:4-10/RES,836,192426,403172058,120951617,201586029,80634412,74148,35351,38797
LUX,Luxembourg,1,Diekirch,URBAN,Res,CR/LWAL+CDN/HBET:4-10/RES,152,34948,73223805,21967141,36611903,14644761,15166,8122,7044
LUX,Luxembourg,1,Diekirch,URBAN,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,36,4512,8553558,2566067,4276779,1710712,2296,1918,378
LUX,Luxembourg,1,Diekirch,URBAN,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,3720,855599,1621930501,486579150,810965251,324386100,375326,304088,71239
LUX,Luxembourg,1,Diekirch,URBAN,Res,MUR+ST/LWAL+CDN/HBET:1-4/RES,256,64075,121464345,36439303,60732172,24292869,28108,22773,5335
LUX,Luxembourg,1,Diekirch,URBAN,Res,W/LPB+CDL/HBET:1-3/RES,163,20367,38608292,11582488,19304146,7721658,3410,1243,2166
LUX,Luxembourg,2,Grevenmacher,RURAL,Res,CR/LFINF+CDN/HBET:4-10/RES,1632,375467,708036187,212410856,354018094,141607238,144681,68979,75702
LUX,Luxembourg,2,Grevenmacher,RURAL,Res,CR/LWAL+CDN/HBET:4-10/RES,297,68192,128592999,38577899,64296500,25718600,29593,15849,13744
LUX,Luxembourg,2,Grevenmacher,RURAL,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,72,11074,18892073,5667622,9446037,3778415,5635,4707,928
LUX,Luxembourg,2,Grevenmacher,RURAL,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,7258,1814645,3095863211,928758963,1547931606,619172642,796032,644941,151091
