ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:5.0/H:1/RES,1287,84942,43216785,12965036,21608393,8643357,32514,15452,17062
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:5.0/H:2/RES,531,103545,52681618,15804485,26340809,10536323,39665,18857,20807
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:5.0/HBET:3-5/RES,82,82862,42158848,12647655,21079424,8431770,31812,15140,16672
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:5.0/HBET:6-/RES,4,16289,8287333,2486200,4143666,1657467,6258,2979,3279
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:8.0/H:1/RES,198,13068,6648736,1994621,3324368,1329747,5002,2377,2625
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDH+LFC:8.0/H:2/RES,9,1755,892909,267872,446454,178582,672,320,353
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDL+LFC:0.0/H:1/RES,3049,201234,102383820,30715146,51191910,20476765,77029,36608,40421
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDL+LFC:0.0/H:2/RES,229,44655,22719568,6815870,11359783,4543913,17106,8132,8973
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDL+LFC:0.0/HBET:3-5/RES,177,178862,91001417,27300425,45500708,18200283,68668,32681,35987
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:2.0/H:1/RES,1100,72600,36937424,11081226,18468711,7387485,27790,13207,14583
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:2.0/H:2/RES,286,55770,28374657,8512397,14187328,5674931,21364,10157,11207
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:2.0/HBET:3-5/RES,72,72757,37017526,11105258,18508763,7403505,27933,13294,14639
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:2.0/HBET:6-/RES,4,16289,8287333,2486200,4143667,1657467,6258,2979,3279
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:3.0/H:1/RES,156,10296,5238398,1571520,2619199,1047679,3941,1873,2068
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:3.0/H:2/RES,16,3120,1587393,476218,793697,317479,1195,568,627
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:3.0/HBET:3-5/RES,117,118231,60153479,18046044,30076739,12030696,45391,21603,23788
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:4.0/H:1/RES,33,2178,1108123,332437,554061,221625,834,396,437
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:4.0/H:2/RES,2,390,198424,59527,99212,39685,149,71,78
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDM+LFC:5.0/H:1/RES,90,5940,3022153,906646,1511076,604431,2274,1081,1193
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDN/H:1/RES,10085,665610,338649010,101594703,169324506,67729802,254784,121085,133698
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDN/H:2/RES,480,93600,47621802,14286540,23810900,9524360,35855,17046,18809
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDN/HBET:3-5/RES,90,90947,46271907,13881572,23135953,9254382,34916,16617,18299
ROU,Romania,1,ALBA,URBAN,Res,CR+CIP/LFINF+CDN/HBET:6-/RES,1,4072,2071833,621550,1035917,414367,1565,745,820
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:3.0/H:1/RES,540,35640,18132917,5439875,9066458,3626584,14500,7343,7157
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:3.0/H:2/RES,154,30030,15278662,4583598,7639330,3055732,12227,6194,6033
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:3.0/HBET:3-5/RES,224,226356,115165634,34549690,57582818,23033127,92374,46840,45534
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:3.0/HBET:6-/RES,27,109948,55939499,16781850,27969749,11187900,44903,22777,22127
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:5.0/H:1/RES,200,13200,6715895,2014769,3357948,1343179,5370,2720,2651
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:5.0/H:2/RES,17,3315,1686606,505981,843302,337321,1350,684,666
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LDUAL+CDM+LFC:5.0/HBET:3-5/RES,27,27284,13881572,4164472,6940786,2776315,11134,5646,5488
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDL+LFC:0.0/H:1/RES,1244,82104,41772868,12531860,20886434,8354573,31428,14936,16492
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDL+LFC:0.0/H:2/RES,50,9750,4960604,1488181,2480302,992121,3735,1776,1959
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDL+LFC:0.0/HBET:3-5/RES,51,51536,26220747,7866224,13110374,5244149,19786,9417,10369
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDM+LFC:3.0/H:1/RES,156,10296,5238398,1571520,2619199,1047679,3941,1873,2068
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDM+LFC:3.0/H:2/RES,16,3120,1587393,476218,793697,317479,1195,568,627
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDM+LFC:3.0/HBET:3-5/RES,117,118231,60153479,18046044,30076739,12030696,45391,21603,23788
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LFM+CDM+LFC:5.0/H:1/RES,90,5940,3022153,906646,1511076,604431,2274,1081,1193
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDL+LFC:0.0/H:1/RES,2456,162096,82471192,24741358,41235596,16494239,69850,37302,32547
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDL+LFC:0.0/H:2/RES,231,45045,22917993,6875397,11458995,4583598,19426,10377,9048
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDL+LFC:0.0/HBET:3-5/RES,173,174820,88944887,26683467,44472444,17788978,75569,40408,35161
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDL+LFC:0.0/HBET:6-/RES,28,114020,58011332,17403400,29005666,11602266,49326,26384,22942
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:2.0/H:1/RES,51,3366,1712553,513766,856277,342511,1450,775,676
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:2.0/H:2/RES,11,2145,1091333,327400,545666,218267,925,494,431
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:3.0/H:1/RES,512,33792,17192692,5157807,8596346,3438539,14562,7776,6785
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:3.0/H:2/RES,136,26520,13492844,4047853,6746421,2698568,11437,6110,5327
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:3.0/HBET:3-5/RES,215,217262,110538444,33161533,55269222,22107689,93915,50218,43697
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:3.0/HBET:6-/RES,23,93660,47652166,14295650,23826083,9530433,40518,21673,18845
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:5.0/H:1/RES,197,13002,6615157,1984547,3307578,1323032,5603,2992,2611
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:5.0/H:2/RES,11,2145,1091333,327400,545666,218267,925,494,431
ROU,Romania,1,ALBA,URBAN,Res,CR+PC/LWAL+CDM+LFC:5.0/HBET:3-5/RES,22,22232,11310910,3393273,5655455,2262182,9610,5139,4471
ROU,Romania,1,ALBA,URBAN,Res,MCF/LWAL+CDN/H:1/RES,57442,3791172,1928872231,578661669,964436115,385774446,1451193,689677,761517
ROU,Romania,1,ALBA,URBAN,Res,MCF/LWAL+CDN/H:2/RES,4236,826020,420262400,126078720,210131199,84052479,316420,150432,165989
ROU,Romania,1,ALBA,URBAN,Res,MCF/LWAL+CDN/HBET:3-5/RES,804,812458,413362367,124008710,206681184,82672474,311916,148449,163468
ROU,Romania,1,ALBA,URBAN,Res,MCF/LWAL+CDN/HBET:6-/RES,31,126237,64226832,19268050,32113416,12845367,48500,23091,25410
ROU,Romania,1,ALBA,URBAN,Res,MUR+ADO/LWAL+CDN/H:1/RES,971,64086,29507329,8852198,14753664,5901466,28062,22727,5335
ROU,Romania,1,ALBA,URBAN,Res,MUR/LWAL+CDL/H:1/RES,2386,157476,72507194,21752158,36253597,14501439,68955,55847,13108
ROU,Romania,1,ALBA,URBAN,Res,MUR/LWAL+CDL/H:2/RES,8,1560,718276,215483,359138,143655,684,554,130
ROU,Romania,1,ALBA,URBAN,Res,MUR/LWAL+CDL/HBET:3-5/RES,13,13137,6048602,1814580,3024301,1209720,5766,4672,1094
ROU,Romania,1,ALBA,URBAN,Res,MUR/LWAL+CDN/H:1/RES,532,35112,16166734,4850020,8083367,3233346,15375,12452,2923
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDH/H:1/RES,562,37092,17078392,5123518,8539196,3415678,6204,2260,3944
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDH/H:2/RES,48,9360,4309656,1292897,2154827,861931,1566,571,995
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDL/H:1/RES,7433,490578,225878445,67763534,112939223,45175689,82051,29887,52164
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDL/H:2/RES,255,49725,22895046,6868514,11447522,4579009,8321,3033,5288
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDM/H:1/RES,1620,106920,49229528,14768858,24614765,9845906,17883,6514,11369
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDM/H:2/RES,153,29835,13737028,4121108,6868513,2747406,4993,1820,3173
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDN/H:1/RES,3299,217734,100251983,30075595,50125992,20050397,36417,13265,23152
ROU,Romania,1,ALBA,URBAN,Res,W/LFM+CDN/H:2/RES,132,25740,11851553,3555466,5925776,2370311,4307,1570,2737
ROU,Romania,2,ARAD,RURAL,Res,CR+CIP/LFINF+CDH+LFC:11.0/H:1/RES,960,63360,24650435,7395131,12325218,4930087,24253,11526,12727
ROU,Romania,2,ARAD,RURAL,Res,CR+CIP/LFINF+CDH+LFC:11.0/H:2/RES,197,38415,14945493,4483648,7472747,2989099,14716,6996,7720
ROU,Romania,2,ARAD,RURAL,Res,CR+CIP/LFINF+CDH+LFC:11.0/HBET:3-5/RES,86,86905,33810593,10143178,16905297,6762119,33364,15879,17485
ROU,Romania,2,ARAD,RURAL,Res,CR+CIP/LFINF+CDH+LFC:11.0/HBET:6-/RES,14,57010,22180039,6654012,11090019,4436008,21903,10428,11475
ROU,Romania,2,ARAD,RURAL,Res,CR+CIP/LFINF+CDH+LFC:5.0/H:1/RES,303,19998,7780292,2334090,3890148,1556058,7655,3638,4017
