COUNTRY,AAEC_TOTAL_TON,AAEC_STRUCTURAL_TON,AAEC_NONSTRUCTURAL_TON
Poland,1646,1252,394
Belarus,23,17,6
Sweden,732,507,225
Norway,1038,706,332
Luxembourg,266,223,43
Cyprus,81435,48529,32906
Ukraine,19471,14521,4950
France,68714,47166,21549
Moldova,16057,12046,4011
Bosnia and Herzegovina,24535,17765,6770
Belgium,15786,12566,3220
Gibraltar,35,23,12
Turkey,3497523,2055999,1441524
Netherlands,17212,14138,3075
Estonia,98,69,29
Spain,156059,116546,39513
Montenegro,8310,5330,2980
Serbia,49988,38606,11382
Croatia,57654,40480,17174
Latvia,97,63,33
Germany,72273,45395,26877
Albania,72660,49930,22730
Slovakia,7602,5747,1856
Portugal,50816,34451,16364
Ireland,50,40,10
Switzerland,26095,16925,9170
Liechtenstein,104,64,40
Lithuania,67,47,20
Kosovo,9044,6322,2722
United Kingdom,5724,4650,1073
Slovenia,20132,12399,7733
Hungary,21895,17214,4681
Monaco,317,237,81
Bulgaria,110782,75468,35314
Romania,614773,402063,212710
Italy,1137458,789598,347860
Denmark,230,161,69
North Macedonia,25739,16330,9409
Isle of Man,0,0,0
Andorra,53,39,14
Austria,51768,35386,16381
Finland,103,70,32
Malta,1207,879,328
Greece,389511,240374,149137
Czechia,1262,903,358
Iceland,2441,1320,1121
